date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.751,0
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.7207,1
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.682,2
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.66,3
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.6416,4
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.628,5
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.6196,6
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.6157,7
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.619,8
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.622,9
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.6377,10
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.6206,11
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5913,12
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5693,13
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.544,14
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.552,15
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.565,16
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5894,17
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5967,18
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5923,19
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.577,20
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.562,21
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.538,22
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5225,23
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.509,0
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4946,1
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4812,2
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.474,3
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4707,4
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4702,5
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4739,6
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4805,7
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.489,8
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4973,9
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5186,10
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5376,11
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5557,12
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.581,13
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.6104,14
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.6465,15
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.6807,16
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.701,17
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.7134,18
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.722,19
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.7314,20
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.737,21
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.7427,22
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.743,23
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.737,0
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.7334,1
