date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.705,0
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.6367,1
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5737,2
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.5244,3
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.4858,4
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.453,5
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.4275,6
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.4084,7
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.3945,8
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.3303,9
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.2612,10
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.2299,11
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.2113,12
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.1986,13
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.1871,14
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.18,15
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.2065,16
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.281,17
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.325,18
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.35,19
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.3606,20
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.367,21
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.372,22
2007-01-02,winter,44.1734,"(40.0, 45.0]",0.377,23
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.3857,0
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.401,1
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4224,2
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.4458,3
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.474,4
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5,5
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5293,6
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5625,7
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5884,8
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.5005,9
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.3477,10
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.2756,11
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.2905,12
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.3188,13
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.3442,14
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.3804,15
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.515,16
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.656,17
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.7173,18
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.7417,19
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.752,20
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.758,21
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.76,22
2007-01-03,winter,37.6934,"(35.0, 40.0]",0.76,23
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.76,0
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.7607,1
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.7603,2
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.758,3
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.757,4
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.7515,5
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.745,6
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.7373,7
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.73,8
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.6587,9
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.5117,10
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.4045,11
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.3914,12
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.3977,13
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.4075,14
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.4333,15
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.5234,16
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.6646,17
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.7437,18
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.778,19
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.8027,20
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.8135,21
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.8164,22
2007-01-04,winter,49.7534,"(45.0, 50.0]",0.8164,23
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.8066,0
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.7935,1
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.781,2
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.764,3
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.745,4
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.713,5
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.6846,6
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.659,7
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.6387,8
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.615,9
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.5713,10
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.516,11
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.457,12
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.4277,13
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.424,14
