Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,thi
2000.0,1.0,1.0,1.0,2000.0,1.0,168.0,168.0,1,1535.6217258224913,12994.812280407928,6926.012532018209,756.5428048798549,815.3865733440587,8457.152801797574,1302.0503538253577,10268.167833193014,6872.479901069038,8791.251417393207,1965.6987708127629,3192.654398013954,4055.670140648561,481.6712577583139,283.618485422591,14715.69888520963,3028.95161470976,13523.858777882597,438.3952432523647,84.87823217651106,2458.538653127096,2005.654990253968,81.2528788814
,2.0,1.0,0.0,1800.0,,,,2,1432.3659134876063,11979.466658522872,6426.38376439906,702.0515833257106,762.5989730961534,7914.09755710754,1207.427229529089,9563.266281297036,6458.216187013976,8261.651892789538,1847.1869985493272,3000.194832884263,3813.616412639153,452.9308781955024,266.696421772449,13837.319713246809,2842.671762686615,12692.20117955094,411.4371060883372,79.68797287974132,2317.385633395852,1890.5269959195225,79.63750467194886
,3.0,1.0,0.0,1100.0,,,,3,1415.37125006649,11643.51919478515,6288.295866933167,687.0575741462735,757.336172826125,7863.641041810013,1175.1127378892509,9436.723555928476,6408.99548621632,8199.00698181051,1833.1341020341167,2977.3395542241124,3796.152042092954,450.8561066689129,265.45150019018007,13773.836900008731,2828.216751097872,12627.590736050575,409.3404718652371,79.27235776161814,2307.104393015857,1882.1533395413253,78.57764991604
,4.0,0.0,0.0,400.0,,,,4,1386.6663762561095,11074.02967616353,6034.927952117401,659.5113070743829,750.0337011140143,7792.485762124961,1114.7002101644673,9233.9344778136,6276.470621879531,8029.986782347642,1795.1983647275515,2915.7414627550293,3750.0619807229855,445.37457524594697,262.23463710591744,13606.506359973524,2793.311003380505,12471.821120086866,404.3005310226299,78.2347529275559,2271.3852519949023,1853.0248937676604,77.93265347072642
,,,,,,,,5,1353.3625207735197,10382.581418357748,5721.50059568953,625.4080006044398,738.9487561534793,7681.239119283379,1035.9788771224594,8991.619053833549,6083.765104535132,7784.143838149442,1740.08299826087,2826.247459440336,3680.394972859866,437.1197398404985,257.366198075423,13353.66064756982,2741.6609996513425,12241.225282179244,396.8263082736482,76.85148279480906,2216.7509555275133,1808.487538618313,77.733272813864
,,,,,,,,6,1372.108538686307,10280.17311298135,5659.698633596269,618.6934334255075,745.0513805323253,7746.737431753637,1007.0351522569192,9112.420961921262,6058.390139905745,7751.915648056875,1732.8297813362842,2814.450270039785,3702.3249798847073,439.722682236764,258.8987708663603,13433.351742600751,2758.6818606104184,12317.191953093148,399.2995355577826,77.26124658786375,2213.0204648687213,1805.430300994824,77.62070294181049
,,,,,,,,7,1377.9542731299323,10360.744308947578,5645.294452769757,617.0616040356613,741.6673833069902,7711.984067011716,1008.8705613713169,9158.23399487698,5993.028057110816,7667.768025901063,1714.1534113986563,2784.092804251128,3665.0175172336462,435.2819770868342,256.2828019024654,13298.078998366074,2741.6504523139606,12241.155803526948,396.8067165114181,76.8204140351412,2176.722220889628,1775.809292456004,77.4191617264933
,,,,,,,,8,1530.6683789266194,11616.769640927529,6258.196582524583,683.97271267922,818.079149038934,8503.005501453532,1130.4665333319344,10170.463933594125,6553.8437843586735,8384.911395459834,1874.533807445552,3044.6211003934586,4012.837305987977,476.5797594193848,280.6017383830431,14560.319894471111,3010.985687599754,13443.665923786348,435.8117286575501,84.39717286317634,2372.465696194676,1935.492979018855,78.52316946176
,,,,,,,,9,1647.7747001439163,12544.70866941336,6703.74924535985,732.578157844764,875.5478130924245,9092.109494528044,1214.7065324533396,10934.656231363757,6966.27460413227,8912.45975016941,1992.4949825322249,3236.2201660348514,4267.134143975591,506.80018080972985,298.3893091067077,15483.168022217633,3211.833922132947,14340.379190148378,464.884207728656,90.00561327203829,2519.855217524408,2055.7496199923144,78.09304557129346
,,,,,,,,10,1719.3421848435737,13209.31819951163,6998.496177829963,764.7565568559276,909.3485329603734,9442.627840213849,1268.1608254960022,11380.226658343086,7191.979591125311,9201.416115893617,2057.0611821530533,3341.0695465261674,4413.008738310208,524.1244107617774,308.5817385301507,16012.51401072268,3332.7031539903064,14880.072409736256,482.36125645636287,93.3914886749703,2605.630649891308,2125.716942579884,77.3621249853905
,,,,,,,,11,1695.1806322515356,13095.64501765592,6911.316388807182,755.1574611841804,893.4496267870735,9280.611683298215,1250.4570510722072,11190.889249923017,7041.916277713224,9009.424262380477,2014.1530169069567,3271.3678333988823,4319.765459039749,513.0398007406662,302.0796937075638,15674.215284328711,3274.8100217113893,14621.653700375127,473.9828278111268,91.78838668064324,2550.2343344088035,2080.543368066752,76.86226427324401
