Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,thi
2000.0,1.0,1.0,1.0,2000.0,1.0,168.0,168.0,1,575.9530078128435,4952.462080341004,6178.144271002387,2511.389793055856,269.9270660315656,310.20788490277124,3190.657752511008,5215.681070128899,17034.63805702409,3985.648851879207,6388.329419934793,1048.6625489409653,2515.688878958877,3182.504980225171,710.4632211038492,1161.881013913948,1509.1447479169688,176.82589574334756,104.78150376630764,5344.3031414600655,30031.955348747782,1087.9583520753574,8273.000860923194,263.42756722190506,52.25755267093986,888.1031271573484,702.0345895316584,79.54217394982706
,2.0,1.0,0.0,1800.0,,,,2,526.2155057962348,4529.605630430976,5411.443865882708,2298.9640600626426,247.1323347421913,282.8033016,2913.329213511767,4780.940620160561,15528.616749932313,3634.298734,5718.989541318173,938.7814240635912,2328.148458744752,2945.454638,657.4993650889755,1075.259534931595,1399.1108457898306,163.9341618673541,97.14312642006624,4954.567618027208,26847.0229111702,997.7498278683728,7736.643999,246.35586285615423,48.88957544693047,826.5647398644592,653.391833,78.800055736991
,3.0,1.0,0.0,1100.0,,,,3,510.2424744,4352.838926095148,5083.928802360394,2222.644548381982,238.95753982538045,273.9494717577097,2826.1800031089747,4605.288220342504,14922.678977404968,3513.206008326082,5438.736030147903,892.7855806,2275.345622055031,2878.813780629334,642.5997869415813,1050.8720771099256,1369.9146089759574,160.52581431213835,95.12358149619637,4851.108046600653,25482.782209814373,970.8221896487314,7614.577282672966,242.4614053381015,48.12401545772635,811.5741871130451,641.5498634426853,77.6566112876675
,4.0,0.0,0.0,400.0,,,,4,509.982271,4289.712586359798,4936.719375865336,2204.092598386512,236.9980219698465,274.2500875556788,2833.0460088937084,4537.232017088949,14679.435943675126,3502.7178138504087,5319.331624651976,873.1849081012301,2285.3700976885334,2891.645989482844,645.4275512299295,1055.4978970233526,1381.104329090501,161.83491261531285,95.89889043187485,4890.694374,24906.143420394383,974.7210327064054,7663.408072885695,244.02000781313663,48.43098366745735,818.5130095829653,647.0435686482825,76.852826866035
,,,,,,,,5,505.4241488061949,4140.254431,4703.033252810203,2145.3552705339303,230.72366669207676,273.79483692045096,2832.1515680765365,4368.217295749305,14128.638209868082,3463.698310795595,5101.192897880227,837.3759926045531,2266.629824153736,2868.144417253052,640.1324887792562,1046.8473884617356,1381.187481877758,161.83501873220223,95.89982416432744,4890.959967713193,23799.500567046925,972.1512228748572,7558.950722410698,240.6935537,47.75709381712117,816.4187277450102,645.3994618498365,75.955592595995
,,,,,,,,6,526.2974249941966,4157.872548832152,4681.144208441297,2177.5210987206965,234.23940467235587,287.0551429904245,2972.937442949572,4358.293505,14108.981209736536,3593.0120512344506,5113.665817823611,839.4279018768444,2347.981702136887,2971.3523318047824,663.0995487268385,1084.4267005250124,1447.024832684338,169.53868843306685,100.45883948699895,5124.058526189242,23641.59592279833,1017.7686924159912,7724.797061985578,245.97536045707585,48.80738902,851.7117798400983,673.3030011695537,75.306340778335
,,,,,,,,7,531.2282333342177,4096.711788052954,4675.734754648724,2147.592130904112,231.03023073623984,288.10573345722565,2985.607749343266,4252.168006718055,13762.010751956965,3630.278561699344,5123.607814748166,841.0574397348881,2333.6216462077014,2953.24617472859,659.0331148802258,1077.795994886007,1451.054374515816,170.00077553812557,100.72594220487017,5138.385432003048,23184.371871597235,1021.0603757604968,7557.779011649401,240.64380353192425,47.73143885375672,847.7038212823034,670.1394417366344,74.62323726184
,,,,,,,,8,531.8154721689236,4072.5092133618687,4941.196637794057,2123.758033172489,228.43014590254484,286.42050109366374,2968.1041038588405,4249.5833009741045,13616.647780977357,3647.354686091336,5298.831208320061,869.8198629116978,2299.6424452159285,2909.947261828928,649.4340963496354,1062.118168870103,1430.3186619800993,167.5678661,99.2840543166366,5065.036654192664,23343.60712451852,1012.9360637813407,7344.869003340745,233.8679119718707,46.374021347078056,828.3704679001457,654.8545683449672,73.6679558340675
,,,,,,,,9,548.2167781220934,4214.180835302108,5346.576757019669,2175.8153693560157,233.98853943952236,294.49487209524943,3048.189713808086,4415.535309262305,14098.942003440428,3761.0252287378735,5604.554162071519,920.0043843125276,2332.9990592937083,2951.9560470104198,658.8505109413218,1077.5226913791168,1450.4020205299569,169.9105881611599,100.6737132818183,5136.240421039538,24309.647401565788,1036.103853237429,7390.111784,235.30123930901013,46.67156049222211,835.9130076892958,660.8120255372901,72.719437060545
,,,,,,,,10,550.1917216595238,4243.664826682056,5512.568783369003,2174.9325509947234,233.87788027082144,295.34626306811333,3050.793892500249,4435.101542745266,14190.584703724588,3767.685301111955,5701.347304247484,935.8960224474804,2313.56933,2927.3356027033424,653.3665871539924,1068.5534678441836,1435.8086897740338,168.19775108352613,99.65235041141122,5084.589380371014,24518.05516939614,1035.915178,7289.059751506083,232.08198395839543,46.03041977,827.9552339202017,654.5265878461635,72.27533685265
,,,,,,,,11,575.8712349358397,4508.903199236279,5847.652273252453,2289.166828614057,246.1369993849653,308.31429205399854,3184.032343,4652.469485,15034.97953716476,3922.803397260552,6013.844851831998,987.1921522,2401.145114124616,3038.2639787233734,678.0877037,1108.9972466400732,1491.0784997037345,174.66885165301585,103.48586745331856,5280.337314124775,26014.702248703445,1081.0112072033744,7567.820828967563,240.9532967495788,47.78539446904406,862.0933397775515,681.5126714,71.81529675450001
,,,,,,,,12,579.9203497638728,4577.358376586844,5938.527398764134,2317.47397345974,249.16443748321203,309.40008475600035,3197.588266296156,4687.7820611455645,15262.895969103878,3930.8653652843873,6080.982799,998.2148417365058,2406.8099821460387,3045.4754266112905,679.6891925,1111.60995021974,1493.9285208219424,175.00289745676952,103.68813860527396,5290.4272987034565,26517.91624605391,1085.6074634743222,7596.677365941329,241.87774106981223,47.97442934320015,865.0404226096268,683.8412933563959,71.64760414656749
