Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,thi
2000.0,1.0,1.0,1.0,2000.0,1.0,168.0,168.0,1,1815.384079198732,15362.230769034884,8187.8060667723075,894.3711463027322,963.935179315326,9997.892250131514,1539.2602506868038,12138.841287189429,8124.520763947684,10392.857557951573,2323.813340894673,3774.297971353601,4794.53948847436,569.4230017966999,335.28861590367086,17396.631619146643,3580.7715178438475,15987.659917712075,518.2628844161029,100.34150258016292,2906.4396875416064,2371.0488569197432,20.6222
,2.0,1.0,0.0,1800.0,,,,2,1784.193155788617,14921.942934325058,8004.874886329877,874.4941625498498,949.9136048948972,9858.01083555097,1504.003536214597,11912.259350356197,8044.526200304122,10290.933778738452,2300.9053547279523,3737.1226419587606,4750.342240179811,564.1827729299254,332.20417067948824,17236.1342128849,3540.90770757713,15809.74404878767,512.4970245437485,99.2614627811957,2886.5973055449454,2354.8908105054625,21.5168
,3.0,1.0,0.0,1100.0,,,,3,1813.536904438532,14919.01983757924,8057.290000892602,880.337414038717,970.386461094144,10075.80395031338,1505.6899855340755,12091.418717779345,8211.944275459358,10505.5134761032,2348.822858078746,3814.9108641116895,4864.067871148192,577.688848771754,340.1270810826831,17648.62860730682,3623.837527875664,16179.925805966486,524.4942287566012,101.57288859427888,2956.128265944333,2411.631959395863,20.8868
,4.0,0.0,0.0,400.0,,,,4,1808.4718027283573,14442.601879473204,7870.67258554898,860.1258549621441,978.183954544926,10162.856051946545,1453.7771544014756,12042.774251477793,8185.689315528348,10472.601716474435,2341.273776089752,3802.671146952585,4890.780844439107,580.8515838965237,342.00291795145165,17745.42421090003,3642.998973915764,16265.582847148607,527.2833629647953,102.0327218468396,2962.3103665759822,2416.690364397778,20.5268
,,,,,,,,5,1838.3247598798284,14103.062704829656,7771.735988899457,849.5159241449684,1003.7427325406708,10433.724772772246,1407.2102568927464,12213.664620047217,8263.813910383453,10573.504240354836,2363.622171331136,3839.0014519295887,4999.2231208520125,593.7566826675051,349.5904807588223,18138.794762418715,3724.10438555316,16627.73069453347,539.024553047477,104.3903473656328,3011.098730371484,2456.538709433147,20.4368
,,,,,,,,6,1907.3521645262213,14290.3494045175,7867.481423657197,860.0385655730473,1035.6872822190549,10768.649849390416,1399.8678845408429,12667.07068409856,8421.697862150955,10775.84802781136,2408.786579924404,3912.334675543525,5146.559011230697,611.2534002292318,359.89217841171546,18673.546443798783,3834.81165645414,17121.9856667536,555.0616528992906,107.399962727764,3076.294079365971,2509.707720207537,20.0768
,,,,,,,,7,1937.7165362663068,14569.558632648248,7938.565616097866,867.7287028683328,1042.952716985989,10844.8004011972,1418.701046792383,12878.556132752032,8427.558007562817,10782.622609307393,2410.488849836657,3915.066537762207,5153.846674983,612.1052790989951,360.3918017388684,18700.118050492,3855.382955519759,17213.844091958337,558.0003279348364,108.02694218626016,3060.96561005289,2497.191015948105,19.4468
,,,,,,,,8,1953.714725279961,14827.414102315732,7987.837852604622,873.0091892197727,1044.1799817166586,10853.067382874764,1442.9050361356365,12981.378215917386,8365.196070533008,10702.334410909632,2392.617730307903,3886.09391729124,5121.905856812194,608.2969417588461,358.1544871283893,18584.50319759217,3843.1623442799696,17159.228242151443,556.2614368012557,107.72287561752178,3028.1681059665507,2470.424806473641,19.086802
,,,,,,,,9,1968.8601242098089,14989.170950907228,8010.042010438583,875.3283581315219,1046.157084391585,10863.798204428183,1451.404281274417,13065.383649836402,8323.723067949508,10649.141905869095,2380.752610446797,3866.830117923989,5098.628022383111,605.5552781890929,356.53345820845567,18500.21857522285,3837.691969854644,17134.745879436872,555.4715574234019,107.54410958663706,3010.874275550247,2456.3330483280447,20.3666
,,,,,,,,10,1978.0551412672623,15196.951489651492,8051.574298431654,879.831049596649,1046.1800778707466,10863.47948131554,1458.9835943880632,13092.632780583075,8274.171559054108,10585.9721324983,2366.591411022325,3843.8071560716335,5077.043243760139,602.9904893337634,355.01466769181167,18421.94994267866,3834.1818552354734,17119.10752377999,554.9431472644596,107.44429814646551,2997.7052553561234,2445.577944992735,18.186802
,,,,,,,,11,1984.737031035086,15332.53218998266,8091.848921047554,884.1470631268331,1046.0611252345057,10865.84717171644,1464.049534170044,13102.422173756251,8244.756776900422,10548.33781229705,2358.193576997585,3830.1551808435006,5057.631209810974,600.6729144683687,353.6783886144445,18351.55199119056,3834.185334610981,17119.200751816767,554.9445602041787,107.46690151955946,2985.843764977148,2435.9241656695744,17.826801
,,,,,,,,12,1991.3347825461703,15380.075348936523,8132.547021797627,888.5619055559505,1046.181516672843,10869.724682709204,1464.1321405281003,13111.929351023527,8225.315821833346,10523.413762530809,2352.593529462862,3821.095127514433,5043.18575711419,598.9458778147543,352.6590473901229,18299.21674145285,3839.460016790346,17142.70014002379,555.711166122126,107.6060584906946,2978.1652550666668,2429.633488613574,18.0968
,,,,,,,,13,1987.047394615647,15321.598557507274,8119.670019206491,887.0985901447553,1041.0854154368878,10816.404069526572,1456.1278160903812,13061.441503057513,8150.404716397466,10427.510535094683,2331.1917807339737,3786.320702949841,4996.681209018053,593.4252878809245,349.3843379016222,18130.59091593296,3824.505192568592,17076.01843739815,553.546370890618,107.182011262785,2949.4482131968466,2406.204120388649,21.4268
,,,,,,,,14,1992.966187467831,15326.65941980128,8127.631943770182,887.903661678517,1042.5178737718522,10829.538379676367,1452.910107951929,13086.839977322112,8102.531036370544,10366.338282759658,2317.4969183837984,3764.066872602908,4981.446176356256,591.6376840417637,348.3465595890259,18075.360566900803,3830.191101942139,17101.24596821598,554.3579389976443,107.33348392619682,2933.80133466195,2393.4695962880937,23.7668
,,,,,,,,15,1959.2936120494544,14962.951148196427,7956.738590012384,869.2324564524413,1025.0789377362537,10646.473840355413,1412.2016927815562,12859.327563469738,7906.720473147205,10116.184120612535,2261.4699912999145,3673.115526451639,4886.621254092078,580.3877751280289,341.71328882874286,17731.306420366152,3761.02401435559,16792.66149478428,544.3433014987038,105.38918998876996,2870.265674249521,2341.601533556164,29.9768
,,,,,,,,16,2014.0296931386576,15132.35944333941,8083.660801428259,883.1344964123623,1053.002116806903,10931.963686146377,1427.6258703634442,13227.586038271837,8041.278608357305,10288.79193797154,2299.974031215397,3735.650754869109,5013.488966059889,595.4312106353512,350.57936822843,18191.637262552395,3851.4009731326455,17196.18449638012,557.4308274630351,107.91966564003648,2929.6931142353283,2390.1091105179144,35.8268
,,,,,,,,17,2011.0203157635503,14922.099525140577,7975.370396319726,871.3521421810534,1048.969926296071,10884.886453915457,1403.1038748255614,13230.266741387066,7972.124103116085,10200.489726456915,2280.191602881533,3703.4886121123127,4998.482743391647,593.6442704153053,349.5406396726886,18137.33634632459,3838.454934008065,17138.171634081646,555.5798248489303,107.5361849587284,2908.854892169127,2373.113418227841,38.3468
,,,,,,,,18,2002.374486261844,14913.436129958944,7963.629059342219,870.0501716774094,1045.490408149233,10842.731442958264,1409.1155648540805,13210.17345550981,7982.490520662017,10213.257117038946,2283.1642283696765,3708.2972332133495,4983.006563136087,591.8237373239897,348.4474622756043,18081.14655989882,3827.413679898533,17088.936642309218,553.9575836960419,107.23641822142602,2901.365940183812,2367.0099244195144,39.2468
,,,,,,,,19,1927.1546852542835,14506.080397583626,7739.267631943036,845.5127981959475,1006.4902293788716,10431.32246500236,1381.823532400472,12762.945304900437,7755.057757790458,9921.692395925009,2218.11752377937,3602.653748469233,4811.696447369316,571.4633602490971,336.45014702500885,17459.51279778965,3686.440609544473,16459.513884753447,533.5550346899589,103.28670692699848,2806.271849388293,2289.397143862683,39.4268
,,,,,,,,20,1821.033788383427,14152.710567678452,7496.601431131465,818.9624662547284,953.6412733895172,9881.219688742762,1349.655708270947,12107.55683657978,7484.078183757342,9574.19491027224,2140.616543394968,3476.760801633978,4578.609020231469,543.7897461580686,320.16548337022414,16613.725324964613,3493.077646705432,15596.24868563823,505.5876625814335,97.8627330366816,2690.24349575904,2194.7268405469363,40.776802
,,,,,,,,21,1740.044186843061,14169.62456414289,7430.657140211887,811.6008699459786,912.1936745779782,9453.518218279962,1355.8715732028452,11600.996414202737,7304.662442388971,9343.767177301675,2089.2878736350613,3393.4246889668475,4399.0442531415865,522.4541092680112,307.6068847575701,15962.160441165775,3347.203013495377,14944.83006599774,484.4546340213683,93.76429911434052,2606.311776303717,2126.2159489532223,38.8868
,,,,,,,,22,1660.2756851780912,13975.498674224746,7312.623871421674,798.5933428329957,872.6217877195735,9043.649697035038,1343.8706604339434,11085.198294395395,7095.718772861756,9076.038333957047,2029.5222657704933,3296.359448389772,4226.7431101164775,502.00884951108463,295.5553136585407,15336.837251030263,3203.3445940601923,14302.577503438606,463.64019229303375,89.76993383396862,2521.228826547626,2056.8041112952624,38.3468
,,,,,,,,23,1636.703291721268,13980.342474459709,7357.6288022686,803.4653716434743,864.1769988446408,8956.111641069578,1362.1803304268503,10948.352558180672,7128.836279416702,9118.339983621556,2038.997044953602,3311.7433832201723,4215.629360348203,500.6629799168989,294.80405557958613,15296.409646518669,3180.785810037028,14201.922512744724,460.3697158807856,89.09515745302018,2532.076046829386,2065.64404733074,35.5568
,,,,,,,,24,1621.7170435619823,13806.575182366356,7326.339593707469,800.1573250043715,859.2338613455423,8905.824377668103,1369.1493919217066,10846.303926704652,7169.60398949317,9170.881431108071,2050.645809112069,3330.684691210377,4229.887118189269,502.3589222528401,295.7902436586711,15347.943758987069,3176.04997182421,14180.600608766594,459.6867545119592,89.00808023209146,2554.9357987127178,2084.328432457482,35.2868
,,,,,,,,25,1616.693739669048,13680.863788676585,7291.666243772293,796.4839230089834,858.4343047305364,8903.641932239216,1370.79113974886,10810.26816347163,7235.307397144758,9255.379037271548,2069.4763843263613,3361.2082268707472,4269.786247675907,507.1007357487708,298.59191370292103,15492.603329658326,3188.862876135014,14237.840904901625,461.5399960476431,89.35931570025431,2588.335383908472,2111.5420628363736,34.2968
,,,,,,,,26,1591.2538796200658,13308.312224311168,7139.24284342158,779.928016396568,847.1917427711337,8791.984173077728,1341.3634360153978,10624.0901355304,7174.606339234152,9178.09164730976,2052.089797828601,3332.997261725516,4236.649207337701,503.1731140358171,296.2802394486546,15372.2512312757,3158.0006395486075,14100.10820398761,457.076564806416,88.52751577646653,2574.446127901981,2100.237368437934,33.9368
,,,,,,,,27,1615.1185669252372,13286.73592526657,7175.74516829127,784.0200544543559,864.2168717770076,8973.4143248042,1340.953054618086,10768.501497684676,7313.478781373963,9356.109505580049,2091.839101380672,3397.5230130203445,4331.892177241453,514.4841460206136,302.91391502771955,15717.699306071809,3227.3549330414603,14409.6866828193,467.10952781641146,90.45984003046178,2632.6994707711087,2147.776284385266,33.3068
