Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,thi
2000.0,1.0,1.0,1.0,2000.0,1.0,168.0,168.0,1,556.3829701,4784.184689,5968.219998,2426.056454,260.7553406,299.6674763,3082.243886,5038.459884,16455.82606,3850.222355,6171.263364,1013.030535,2430.209464,3074.368133,686.3227238,1122.402003,1457.866225,170.8176114,101.2211821,5162.711566,29011.51359,1050.991124,7991.896436,254.4766852,50.48191774,857.9266866,678.1804847,43.182503
,2.0,1.0,0.0,1800.0,,,,2,567.2252327,4882.612883,5833.175709,2478.129986,266.3921807,304.8431048,3140.374662,5153.535246,16738.81357,3917.531739,6164.689443,1011.943787,2509.588822,3175.003728,708.7404804,1159.058092,1508.148214,176.7100971,104.7138138,5340.693574,28939.30082,1075.507795,8339.586433,265.5551957,52.69970289,890.9816829,704.3128347,43.182503
,3.0,1.0,0.0,1100.0,,,,3,564.4595064,4815.360216,5624.133792,2458.81695,264.3485436,303.0586267,3126.482505,5094.634112,16508.32385,3886.510098,6016.641908,987.6506433,2517.117902,3184.70901,710.8807611,1162.534998,1515.478155,177.5828679,105.2311647,5366.574111,28190.51606,1073.979219,8423.682366,268.2247207,53.23754758,897.8099394,709.7192754,43.2725
,4.0,0.0,0.0,400.0,,,,4,582.6832303,4901.236237,5640.477634,2518.298906,270.7834779,313.3460436,3236.913308,5184.041012,16772.0755,4002.050751,6077.633499,997.6625303,2611.162989,3303.867059,737.4370284,1205.965303,1577.988839,184.9054272,109.5698389,5587.891498,28456.66002,1113.673224,8755.871772,278.806489,55.33510401,935.1968325,739.2834186,43.0025
,,,,,,,,5,586.8099852,4806.938187,5460.338371,2490.810733,267.8759053,317.8826033,3288.198286,5071.608732,16403.69974,4021.439734,5922.611604,972.2143173,2631.613501,3329.986877,743.2097123,1215.415809,1603.592958,187.8944747,111.3420768,5678.525953,27631.81104,1128.691706,8776.129458,279.4511917,55.44717161,947.8824125,749.3247988,42.5822
,,,,,,,,6,604.3416926,4774.440486,5375.307725,2500.42414,268.9745979,329.6223442,3413.792203,5004.581722,16201.19191,4125.817231,5871.967653,963.9060632,2696.162224,3411.972037,761.4301051,1245.235558,1661.603107,194.6794589,115.3558087,5883.901489,27147.39122,1168.692882,8870.301676,282.4508702,56.04500172,978.0115086,773.1466202,42.6722
,,,,,,,,7,626.4307566,4830.89208,5513.682964,2532.466611,272.4336418,339.7377648,3520.664762,5014.207933,16228.3295,4280.868379,6041.820293,991.7851035,2751.834865,3482.503601,777.1398184,1270.95007,1711.100865,200.4669703,118.7772491,6059.246238,27339.29167,1204.046742,8912.224403,283.7700831,56.28548989,999.6225969,790.2365334,42.6722
,,,,,,,,8,627.3722313,4804.258857,5829.032291,2505.355496,269.4745412,337.8846203,3501.413915,5013.149668,16063.29103,4302.71244,6250.926746,1026.10935,2712.842871,3432.807435,766.1246042,1252.959871,1687.318736,197.6765092,117.1234422,5975.123918,27537.99326,1194.940711,8664.597208,275.8893666,54.70651903,977.2123152,772.5190282,42.5822
,,,,,,,,9,616.710162,4740.694283,6014.570056,2447.658486,263.2227174,331.2886207,3429.025975,4967.205683,15860.44272,4230.922093,6304.778772,1034.948355,2624.480471,3320.769018,741.1663079,1212.146764,1631.613079,191.1389628,113.2517364,5777.954613,27346.85837,1165.553118,8313.421292,264.699424,52.50263542,940.350728,743.3728912,42.4022
,,,,,,,,10,624.990589,4820.593396,6262.005544,2470.615828,265.6737068,335.4987501,3465.551001,5038.056038,16119.8025,4279.904191,6476.448608,1063.131602,2628.100354,3325.308489,742.1921343,1213.8239,1631.007671,191.0643279,113.2001423,5775.842105,27851.29826,1176.748416,8280.011437,263.6336574,52.28828068,940.5162037,743.5098377,41.862198
,,,,,,,,11,621.5898363,4866.866465,6311.899256,2470.904515,265.6778944,332.7914622,3436.813689,5021.830525,16228.61137,4234.236013,6491.285916,1065.565653,2591.772792,3279.472727,731.9213032,1197.040892,1609.455698,188.5358676,111.7016435,5699.544981,28080.01777,1166.833032,8168.632543,260.082656,51.57909221,930.5352055,735.6181801,40.8722
