Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,thi
2000.0,1.0,1.0,1.0,100000.0,1.0,168.0,168.0,1,1401.378287715368,11858.81097960302,6320.543281983241,690.4061349601313,744.1058046811481,7717.831880753355,1188.2256317946162,9370.528701231333,6271.690452256397,8022.723728777134,1793.8581691597,2913.553825346774,3701.125076357124,439.563748733443,258.8246706740591,13429.25836455236,2764.161873993521,12341.608443513454,400.0709061357583,77.45821101099479,2243.614185750038,1830.3214318516268,75.7122518949152
,2.0,1.0,0.0,100000.0,,,,2,1315.5861757524474,11002.78956685492,5902.445430258787,644.8138349226458,700.4248406089935,7268.867013412758,1108.9865769898402,8783.580226424285,5931.682578908134,7588.085500142,1696.5872033383723,2755.591158334705,3502.69507592141,416.0037573601296,244.95285897454707,12709.173230665428,2610.910828006597,11657.415367438927,377.8929419253406,73.19107115517849,2128.4508898705312,1736.3937226505686,73.68708387524
,3.0,1.0,0.0,100000.0,,,,3,1242.5435201433013,10221.755830115098,5520.446513121315,603.1625530621197,664.8595936020479,6903.429909838103,1031.6224226213085,8284.426934100682,5626.407779338217,7197.845085789152,1609.294310541633,2613.783465075842,3332.612642202373,395.8031038373698,233.03782767816705,12091.945337177476,2482.869704660395,11085.664657498264,359.35684777026387,69.59259237359312,2025.3891787764728,1652.32792163419,71.91933257233819
,4.0,0.0,0.0,100000.0,,,,4,1213.491573433112,9691.041714197225,5281.2517427175535,577.1477749964625,656.3652163760293,6819.315713103907,975.4900927148952,8080.7480950924355,5492.629186780382,7027.1562518643,1571.0037580340356,2551.607045463741,3281.7328604632908,389.7536590895808,229.4852805542806,11907.248271405664,2444.466399864724,10914.26899342029,353.80917568299066,68.46435094469776,1987.72171195055,1621.6085804430973,71.546186009277
,,,,,,,,5,1301.9166106405758,9987.904203348486,5504.00690796483,601.634116444318,710.8588018962901,7389.249108200136,996.5977982215836,8649.817046837821,5852.500511321064,7488.242068880363,1673.9365281330977,2718.81218575718,3540.490648540859,420.50333255273273,247.58283397732603,12846.042610956798,2637.441144854089,11775.894695497876,381.7415912961412,73.93009667929473,2132.48471592454,1739.740779372217,70.893256837226
,,,,,,,,6,1312.5989498532142,9834.312703372458,5414.232382852725,591.8601394120928,712.7378280217805,7410.754419941053,963.3591265187096,8717.20701970851,5795.632277789795,7415.70805231787,1657.675385821925,2692.3850152592768,3541.751795572065,420.6515116385923,247.6700969172853,12850.73512276843,2639.035332207194,11782.984193254675,381.9815534067211,73.91035641588216,2117.039764923769,1727.1271552525236,70.3880274758789
,,,,,,,,7,1433.6821241532482,10779.758224429846,5873.6040087408055,642.0170889980167,771.6622316497458,8023.87562071648,1049.6717617030265,9528.61544341656,6235.400813056201,7977.8713744382785,1783.4779802934945,2896.688346828876,3813.239816174171,452.8858480172755,266.6475070909893,13835.88593417529,2852.52952206532,12736.218172630555,412.8545535216919,79.92722002455598,2264.754207153833,1847.6273764269777,70.01286547742542
,,,,,,,,8,1443.5773771582294,10955.806025771082,5902.121669669988,645.0564656661024,771.5325987890393,8019.206869849854,1066.1459631751527,9591.79130625003,6180.947323915954,7907.83200764242,1767.8777679096531,2871.3901737675446,3784.517425781701,449.4636255514607,264.6362380629359,13731.87601783799,2839.668527427388,12678.756718852515,411.0151884312367,79.59519587569304,2237.4786428346083,1825.368523075862,69.2557201892055
,,,,,,,,9,1489.8018253364285,11342.042011188449,6061.057899154857,662.3455722820634,791.6086647042747,8220.445015889307,1098.2520906159152,9886.345998326877,6298.414837977921,8058.018370399883,1801.473624817108,2925.962335826729,3858.0421438046105,458.213027779358,269.7825966919038,13998.789992027308,2903.9140116990534,12965.560820683577,420.3155572079974,81.37673611052281,2278.275605471734,1858.66401276323,68.0675423452918
,,,,,,,,10,1487.385869389498,11427.250146840692,6054.329623063227,661.5833114651124,786.6683957378648,8168.723680048458,1097.0733508337005,9844.9211979343,6221.710204679639,7960.05380999718,1779.5432240165007,2890.326123535858,3817.6500854320407,453.4148287881919,266.9510010790255,13852.26703730132,2883.088440342075,12872.603041347384,417.28593826099393,80.79205047192987,2254.1052291165106,1838.936641342761,66.808663237187
,,,,,,,,11,1472.6120803218826,11376.253766534095,6003.89587484024,656.0091465934217,776.1442577468605,8062.114808053946,1086.2784321024333,9721.582694755329,6117.348665907284,7826.532909301138,1749.7050213312236,2841.853958796758,3752.6023351800673,445.6802973575574,262.4181740342613,13616.270937811996,2844.8442053789217,12701.90530955794,411.7513053300516,79.73704069497339,2215.4016020782306,1807.3786587446427,65.95905890448479
