Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,thi
2000.0,1.0,1.0,1.0,100000.0,1.0,168.0,168.0,1,1807.1227897245567,15292.321686540288,8150.545722335517,890.3011211099268,959.5485882672324,9952.394725416852,1532.2555211352328,12083.600920754792,8087.548412675582,10345.562660010197,2313.23833645729,3757.122229613646,4772.720921779023,566.8317219099816,333.7628140939523,17317.464565007453,3564.4764591900084,15914.904687505814,515.9044194714439,99.88487733562827,2893.2133186023075,2360.2588972694025,22.843401
,2.0,1.0,0.0,100000.0,,,,2,1802.3027642516256,15073.401055981476,8086.124581474419,883.3703017927247,959.5552535036926,9958.069910363984,1519.2692125117287,12033.169102781185,8126.178357350722,10395.38703305515,2324.2596058914955,3775.054537171195,4798.558341533995,569.909243231746,335.5760519364393,17411.081438188678,3576.8480159343426,15970.213375606363,517.698883110929,100.26896929505092,2915.8963457437003,2378.7930154954493,22.753399
,3.0,1.0,0.0,100000.0,,,,3,1800.2469807027785,14809.690584136226,7998.244734503681,873.8861435596489,963.2752950458624,10001.966651635674,1494.6560192395598,12002.810632538254,8151.7656748055715,10428.527188942107,2331.61026285873,3786.954513006478,4828.423109304705,573.4554412660221,337.6345688228056,17519.296291180413,3597.281396451837,16061.356407414314,520.6506409680327,100.82854424719976,2934.465227761127,2393.9590878151216,22.4834
,4.0,0.0,0.0,100000.0,,,,4,1802.8277417933764,14397.527952998687,7846.108997880594,857.4414875698326,975.1311395456858,10131.138787268106,1449.2400602466505,12005.189948753794,8160.142591923388,10439.917766331342,2333.9668930972784,3790.803387866314,4875.51720302429,579.0388037753484,340.93556080164865,17690.042503863013,3631.629535827853,16214.81957807591,525.6377639424135,101.71428785268124,2953.065290046696,2409.148113721232,23.0234
,,,,,,,,5,1853.8136210777725,14221.888488754408,7837.216986939758,856.6735464115501,1012.1997974739546,10521.63443830576,1419.066749728517,12316.57122292108,8333.440925923369,10662.591622045453,2383.536941852164,3871.347075469757,5041.344227365036,598.7593976631894,352.53596599123017,18291.62372958742,3755.481940364671,16767.82814542199,543.5661208197469,105.26989141358278,3036.468834341077,2477.2363510730675,23.5634
,,,,,,,,6,1876.8554399402503,14061.860477232736,7741.687971024334,846.2873770115422,1019.1276398045808,10596.4695070669,1377.4853449524117,12464.53642055319,8287.043022302814,10603.552593545775,2370.2724018504323,3849.780211136144,5064.270488088492,601.4800469147642,354.1378490069023,18374.974416287896,3773.496710477709,16848.22160212234,546.1867515194982,105.68274073553384,3027.107099096293,2469.5799102739857,24.2834
,,,,,,,,7,1847.4838575310976,13891.105268181083,7568.89439357944,827.3216134877026,994.386058402818,10339.795994084989,1352.6371032894886,12278.846837635472,8035.116120431064,10280.513604394137,2298.240818759205,3732.755588499444,4913.850069406036,583.6016780988773,343.6096165964709,17829.318987378345,3675.8512618402847,16412.255606399693,532.0162051891524,102.99650549100345,2918.4271523672164,2380.9055683786323,25.6334
,,,,,,,,8,1873.4054586899608,14217.919411726978,7659.490325055227,837.1233319831058,1001.2579893528,10406.941922236889,1383.5930784011389,12447.766552782512,8021.336881362086,10262.40496971759,2294.2669462016283,3726.352401112209,4911.365137851973,583.2923284294396,343.43221277839336,17820.56985439424,3685.185570464538,16453.882155772262,533.3957914520315,103.29482631028768,2903.6924307030827,2368.8756899079094,27.8834
,,,,,,,,9,1892.586522727029,14408.4907707316,7699.733144586712,841.4181552005263,1005.6289800523822,10442.934881206347,1395.1769087053492,12559.230950884665,8001.26220425935,10236.594363321949,2288.522302358666,3717.0291971833567,4901.107275679856,582.0960789313873,342.7213592318545,17783.520480929743,3689.019860382247,16470.946169824994,533.952600497533,103.3778529513549,2894.233066871067,2361.174755601512,28.9634
,,,,,,,,10,1853.847861885348,14242.694977763127,7545.994793853819,824.5841463601084,980.4876820901944,10181.333062418946,1367.3701812221948,12270.51196923863,7754.614587638785,9921.25112914548,2217.9869184380746,3602.4444056790835,4758.242359267217,565.1271322357741,332.7223639563232,17265.18730469476,3593.423502771551,16044.153784313996,520.0968090126371,100.69758837106365,2809.4714663232708,2292.013680414471,29.5934
,,,,,,,,11,1860.110178238924,14369.762209701275,7583.7404670997585,828.6291460610136,980.3761988025144,10183.552079318802,1372.1180173352204,12279.68666069421,7727.046836939733,9885.97996678855,2210.116406475876,3589.6496738441697,4740.049257932109,562.9550839852797,331.46999335310926,17199.20982554131,3593.4267636679274,16044.2411583174,520.0981332301589,100.71877241897384,2798.3547900895896,2282.96608725896,29.6834
,,,,,,,,12,1870.3659369104605,14445.772399448442,7638.514158048269,834.5838859215357,982.6284810373616,10209.414794703303,1375.1895998512573,12315.410869273195,7725.647474412587,9884.1414381793,2209.679075296959,3588.972698533087,4736.824232818155,562.5613421392028,331.23585012581094,17187.58290436354,3606.221964521843,16101.321932203668,521.9530362175633,101.06924670338468,2797.2488083820213,2282.039040401483,29.1434
,,,,,,,,13,1856.125513282802,14312.094449245453,7584.684050780695,828.649749586561,972.490744979343,10103.73663447902,1360.1869776080086,12200.85382954107,7613.393711030256,9740.466380751945,2177.595034874577,3536.848933377089,4667.461631227534,554.3258907903568,326.3642252710634,16936.008905044757,3572.517536745634,15950.91972784727,517.074501886212,100.12004052288918,2755.116004507773,2247.664987821527,28.7834
,,,,,,,,14,1847.7228422685805,14209.6834776806,7535.306564902949,823.1950384977572,966.5412795030755,10040.30352405328,1347.0249576268943,12133.097546393776,7512.034960870917,9610.860513431286,2148.602429841227,3489.749291317123,4618.408453421644,548.5203261475269,322.9597668167693,16758.064844109384,3551.05452055071,15854.941747342698,513.9574535282542,99.51123668720172,2719.9918266653644,2219.038372625804,28.6934
,,,,,,,,15,1851.2606025640148,14137.912658108971,7518.013934207057,821.3040614250356,968.5573618362808,10059.440532887776,1334.3346503263729,12150.280257799432,7470.753754008699,9558.390327820336,2136.7753526206275,3470.584511156188,4617.179044385248,548.3859160753403,322.8716436836228,16753.624268533407,3553.6458345263645,15866.735055074118,514.3288898288613,99.5781613140987,2712.002799862063,2212.488541439999,28.6934
,,,,,,,,16,1845.995133910627,13869.836175780709,7409.224677499975,809.4528042559479,965.1480264890548,10019.88790804017,1308.5161647387913,12123.981857477444,7370.3785162740605,9430.37727597532,2108.0825591642006,3423.977878266154,4595.203470331366,545.7531838562119,321.3298244826764,16673.872276533013,3530.070822372947,15761.472142288623,510.92324929178375,98.91571028146396,2685.2629090595806,2190.697487014542,28.0634
,,,,,,,,17,1860.358142910785,13804.161570779692,7377.869404511534,806.071942855437,970.3829089923868,10069.409538268354,1297.9857530133063,12239.077980610067,7374.866317994541,9436.286632980564,2109.3635815443527,3426.0296341683447,4624.00503912216,549.1694657694829,323.3536579397679,16778.5183959146,3550.884512057606,15854.209380257282,513.9567428000964,99.47975949192386,2690.9285017034013,2195.32385478402,27.4334
,,,,,,,,18,1873.114400593797,13950.72308852272,7449.549709299746,813.8854729668934,978.0004452828068,10142.796238625497,1318.1523609784404,12357.411814635776,7467.193599119932,9553.956622073689,2135.778209531494,3468.914030252853,4661.336536048465,553.6195015470468,325.95399308011827,16913.94703286519,3580.3411050405034,15985.787641202807,518.1977369659278,100.3139425800622,2714.072897570867,2214.211380637243,27.3434
,,,,,,,,19,1847.7824020261307,13908.629279280978,7420.516186010192,810.6892929501392,965.0366666919268,10001.695363726309,1324.9113967923515,12237.287392062832,7435.6559757166915,9513.05504834849,2126.761571048718,3454.27393449559,4613.520693159892,547.9269248859866,322.59302566046256,16740.42086115621,3534.609928591159,15781.608157800358,511.5799012690367,99.0327143343742,2690.692022948233,2195.1054505623006,29.9426
,,,,,,,,20,1798.1793194569325,13975.090203927914,7402.517045902015,808.684264742828,941.6728162479,9757.207696338868,1332.717162351089,11955.60370794342,7390.150968685742,9454.036162274891,2113.751224043596,3433.126508732507,4521.146232749452,536.9650370640387,316.147319546083,16405.218557207278,3449.238572964064,15400.511526212851,499.2424000180495,96.63452914199485,2656.4802087894386,2167.182422261348,31.2926
,,,,,,,,21,1798.4149880474465,14644.9529177722,7679.922885317,838.8264963956568,942.7937455654236,9770.64202282104,1401.3550791140883,11990.158632373055,7549.7016215740705,9657.209318903757,2159.3742588273503,3507.259107322111,4546.612768660314,539.9801383085875,317.9257378390315,16497.62046048529,3459.486898679887,15446.16314214126,500.7059484125902,96.90967743579654,2693.7420310763187,2197.541108056861,34.7126
,,,,,,,,22,1750.581663710425,14735.656215842791,7710.373269454205,842.0305586627301,920.0855704709286,9535.553326465584,1416.9666866510368,11688.146159100736,7481.670234353402,9569.70365126671,2139.912362909032,3475.6555545958986,4456.644792091013,529.3141945159574,311.63120517983475,16171.040936544616,3377.581421549379,15080.5255686384,488.8585832058962,94.65271432038512,2658.363904967381,2168.678126904857,32.1026
,,,,,,,,23,1738.664025251712,14851.267571826402,7815.98263678376,853.5183770192531,918.0121204259464,9514.045212244624,1447.039269975386,11630.395579312522,7572.937161931181,9686.379797565036,2166.0192336554023,3518.0530951427336,4478.247920503685,531.8524844178518,313.1692888547223,16249.320999376634,3378.93733575036,15086.65125024187,489.04909482737656,94.64546559614536,2689.8152854534374,2194.3262485238106,30.4826
,,,,,,,,24,1764.9609867959955,15026.090189333992,7973.464674522486,870.834075240317,935.1287574052068,9692.46308672723,1490.0843963072737,11804.342414456634,7802.884838922723,9980.932249984666,2231.776415736473,3624.879298544725,4603.506987727892,546.7315661909166,321.916972140697,16703.60564420863,3456.585915920298,15433.152745830412,500.29022700436775,96.87003644865196,2780.609617687641,2268.4341769492576,27.1391
,,,,,,,,25,1759.8545293281643,14892.325932153855,7937.354831397341,867.0138351196712,934.450021201892,9692.073518621384,1492.176864953895,11767.534520565468,7876.005319692371,10074.95750105744,2252.73179386466,3658.84853570626,4647.8825784120245,552.0053085724239,325.03270029264803,16864.49787723255,3471.2417313630817,15498.624253641408,502.4100932541629,97.27222454943777,2817.536579144636,2298.5224547911143,25.003399
,,,,,,,,26,1753.496264194387,14665.212174460776,7867.151694301136,859.4485648125833,933.5704220625124,9688.404597026924,1478.1272832098537,11707.309940739944,7906.120810788698,10113.87913777403,2261.318473669972,3672.825764548173,4668.613005702483,554.4760562755241,326.48862615931444,16939.587988772375,3479.9866914348927,15537.738746209514,503.6795567971965,97.55367775097444,2836.9336442552326,2314.375114269433,24.8234
