Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,gen_energy_source,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type
IL1_conventional_hydroelectric_1,2,0,0,28.5,IL1,Conventional Hydroelectric,1,1.58,0.0,8.84,44560,0.309,18.0,0.367,0.181,1.0,1.583,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
KY3_conventional_hydroelectric_1,3,0,0,308.1,KY3,Conventional Hydroelectric,1,9.34,0.0,8.84,44560,0.321,33.0,0.0,0.134,1.0,9.336,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
KY4_conventional_hydroelectric_1,4,0,0,87.9,KY4,Conventional Hydroelectric,1,29.3,0.0,8.84,44560,0.034,3.0,0.0,0.0,1.0,29.3,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
MD1_conventional_hydroelectric_1,5,0,0,18.0,MD1,Conventional Hydroelectric,1,9.0,0.0,8.84,44560,0.556,2.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
MD2_conventional_hydroelectric_1,6,0,0,572.0,MD2,Conventional Hydroelectric,1,52.0,0.0,8.84,44560,0.271,11.0,0.0,0.0,1.0,52.0,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
MI_conventional_hydroelectric_1,7,0,0,9.4,MI,Conventional Hydroelectric,1,0.25,0.0,8.84,44560,0.436,38.0,0.0,0.0,1.0,0.247,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
NJ1_conventional_hydroelectric_1,8,0,0,9.9,NJ1,Conventional Hydroelectric,1,3.3,0.0,8.84,44560,0.091,3.0,0.367,0.196,1.0,3.3,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
OH2_conventional_hydroelectric_1,10,0,0,100.7,OH2,Conventional Hydroelectric,1,9.15,0.0,8.84,44560,0.071,11.0,0.0,0.138,1.0,9.155,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
OH4_conventional_hydroelectric_1,12,0,0,2.0,OH4,Conventional Hydroelectric,1,1.0,0.0,8.84,44560,0.3,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
PA1_conventional_hydroelectric_1,13,0,0,225.9,PA1,Conventional Hydroelectric,1,5.79,0.0,8.84,44560,0.125,39.0,0.0,0.058,1.0,5.792,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
PA4_conventional_hydroelectric_1,16,0,0,827.2,PA4,Conventional Hydroelectric,1,19.24,0.0,8.84,44560,0.474,43.0,0.0,0.001,1.0,19.237,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
VA1_conventional_hydroelectric_1,17,0,0,183.9,VA1,Conventional Hydroelectric,1,5.11,0.0,8.84,44560,0.382,36.0,0.007,0.157,1.0,5.108,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
VA2_conventional_hydroelectric_1,18,0,0,707.1,VA2,Conventional Hydroelectric,1,30.74,0.0,8.84,44560,0.81,23.0,0.0,0.001,1.0,30.743,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
VA3_conventional_hydroelectric_1,19,0,0,3.1,VA3,Conventional Hydroelectric,1,0.52,0.0,8.84,44560,0.387,6.0,0.0,0.0,1.0,0.517,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
WV1_conventional_hydroelectric_1,21,0,0,199.9,WV1,Conventional Hydroelectric,1,8.69,0.0,8.84,44560,0.06,23.0,0.0,0.0,1.0,8.691,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
WV2_conventional_hydroelectric_1,22,0,0,53.1,WV2,Conventional Hydroelectric,1,5.9,0.0,8.84,44560,0.169,9.0,0.367,0.186,1.0,5.9,1.0,1.0,1.0,1.0,Water,0.0,0.0,Hydro
