Derating_factor_5,Derating_factor_7,Derating_factor_4,Derating_factor_2,Derating_factor_6,Derating_factor_1,Derating_factor_3,Resource
0.95,0.0,0.0,0.0,0.0,0.0,0.0,DE1_batteries_1
0.5,0.0,0.0,0.0,0.0,0.0,0.0,DE1_biomass_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,DE1_natural_gas_fired_combined_cycle_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,DE1_natural_gas_fired_combined_cycle_2
0.6,0.0,0.0,0.0,0.0,0.0,0.0,DE1_natural_gas_fired_combustion_turbine_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,DE1_natural_gas_steam_turbine_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,DE1_onshore_wind_turbine_1
0.78,0.0,0.0,0.0,0.0,0.0,0.0,DE1_petroleum_liquids_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,DE1_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,IL1_batteries_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,IL1_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,IL1_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,IL1_natural_gas_fired_combined_cycle_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,IL1_natural_gas_fired_combined_cycle_2
0.0,0.0,0.0,0.0,0.0,0.0,0.6,IL1_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,IL1_natural_gas_steam_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,IL1_nuclear_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,IL1_onshore_wind_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,IL1_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,IL1_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,KY3_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,KY3_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,KY3_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,KY3_natural_gas_fired_combined_cycle_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,KY3_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,KY3_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,KY3_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,KY4_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,KY4_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,KY4_natural_gas_steam_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,KY4_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,MD1_batteries_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,MD1_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,MD1_onshore_wind_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,MD1_solar_photovoltaic_1
0.0,0.0,0.95,0.0,0.0,0.0,0.0,MD2_batteries_1
0.0,0.0,0.5,0.0,0.0,0.0,0.0,MD2_biomass_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,MD2_conventional_hydroelectric_1
0.0,0.0,0.74,0.0,0.0,0.0,0.0,MD2_natural_gas_fired_combined_cycle_1
0.0,0.0,0.74,0.0,0.0,0.0,0.0,MD2_natural_gas_fired_combined_cycle_2
0.0,0.0,0.6,0.0,0.0,0.0,0.0,MD2_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.74,0.0,0.0,0.0,0.0,MD2_natural_gas_steam_turbine_1
0.0,0.0,0.95,0.0,0.0,0.0,0.0,MD2_nuclear_1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,MD2_petroleum_liquids_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,MD2_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.95,0.0,MI_batteries_1
0.0,0.0,0.0,0.0,0.0,0.93,0.0,MI_biomass_1
0.0,0.0,0.0,0.0,0.0,0.8,0.0,MI_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.93,0.0,MI_natural_gas_fired_combined_cycle_1
0.0,0.0,0.0,0.0,0.0,0.93,0.0,MI_natural_gas_fired_combined_cycle_2
0.0,0.0,0.0,0.0,0.0,0.93,0.0,MI_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.93,0.0,MI_nuclear_1
0.0,0.0,0.0,0.0,0.0,0.8,0.0,MI_solar_photovoltaic_1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_batteries_1
0.5,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_biomass_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_conventional_hydroelectric_1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_hydroelectric_pumped_storage_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_natural_gas_fired_combined_cycle_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_natural_gas_fired_combined_cycle_2
0.6,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_natural_gas_fired_combustion_turbine_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_natural_gas_steam_turbine_1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_nuclear_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_onshore_wind_turbine_1
0.78,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_petroleum_liquids_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,OH1_batteries_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,OH1_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,OH1_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH1_natural_gas_fired_combined_cycle_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH1_natural_gas_fired_combined_cycle_2
0.0,0.0,0.0,0.0,0.0,0.0,0.6,OH1_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH1_natural_gas_steam_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,OH1_nuclear_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH1_onshore_wind_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,OH1_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH1_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,OH2_batteries_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,OH2_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH2_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,OH2_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH2_natural_gas_fired_combined_cycle_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH2_natural_gas_fired_combined_cycle_2
0.0,0.0,0.0,0.0,0.0,0.0,0.6,OH2_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH2_natural_gas_steam_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH2_onshore_wind_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,OH2_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH2_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,OH3_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,OH3_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH3_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,OH4_batteries_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,OH4_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH4_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,OH4_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH4_natural_gas_fired_combined_cycle_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,OH4_natural_gas_fired_combined_cycle_2
0.0,0.0,0.0,0.0,0.0,0.0,0.6,OH4_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,OH4_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH4_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,PA1_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,PA1_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,PA1_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,PA1_natural_gas_fired_combined_cycle_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,PA1_natural_gas_fired_combined_cycle_2
0.0,0.0,0.0,0.0,0.0,0.0,0.6,PA1_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,PA1_nuclear_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,PA1_onshore_wind_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,PA1_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,PA1_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,PA2_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,PA2_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,PA2_natural_gas_steam_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,PA2_onshore_wind_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,PA2_solar_photovoltaic_1
0.5,0.0,0.0,0.0,0.0,0.0,0.0,PA3_biomass_1
0.6,0.0,0.0,0.0,0.0,0.0,0.0,PA3_natural_gas_fired_combustion_turbine_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA3_solar_photovoltaic_1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,PA4_batteries_1
0.5,0.0,0.0,0.0,0.0,0.0,0.0,PA4_biomass_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA4_conventional_hydroelectric_1
0.83,0.0,0.0,0.0,0.0,0.0,0.0,PA4_conventional_steam_coal_1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,PA4_hydroelectric_pumped_storage_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_fired_combined_cycle_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_fired_combined_cycle_2
0.6,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_fired_combustion_turbine_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_steam_turbine_1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,PA4_nuclear_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA4_onshore_wind_turbine_1
0.78,0.0,0.0,0.0,0.0,0.0,0.0,PA4_petroleum_liquids_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA4_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,VA1_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,VA1_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,VA1_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,VA1_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,VA1_natural_gas_steam_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,VA1_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,VA1_solar_photovoltaic_1
