Network_zones,CapRes_1,CapRes_2,CapRes_3,CapRes_4
z1,0.0,0.0,0.0,0.177
z2,0.0,0.177,0.0,0.0
z3,0.0,0.177,0.0,0.0
z4,0.0,0.177,0.0,0.0
z5,0.0,0.177,0.0,0.0
z6,0.0,0.0,0.177,0.0
z7,0.177,0.0,0.0,0.0
z8,0.0,0.0,0.0,0.177
z9,0.0,0.177,0.0,0.0
z10,0.0,0.177,0.0,0.0
z11,0.0,0.177,0.0,0.0
z12,0.0,0.177,0.0,0.0
z13,0.0,0.177,0.0,0.0
z14,0.0,0.177,0.0,0.0
z15,0.0,0.0,0.0,0.177
z16,0.0,0.0,0.0,0.177
z17,0.0,0.177,0.0,0.0
z18,0.0,0.0,0.177,0.0
z19,0.0,0.0,0.177,0.0
z20,0.0,0.0,0.177,0.0
z21,0.0,0.177,0.0,0.0
z22,0.0,0.177,0.0,0.0
