ESR_3,ESR_2,ESR_7,ESR_1,ESR_9,ESR_8,ESR_6,ESR_10,ESR_5,ESR_4,Resource
1,0,0,0,0,1,0,0,0,0,DE1_biomass_1
1,0,0,0,0,1,0,0,0,0,DE1_onshore_wind_turbine_1
1,0,0,0,0,1,0,0,0,0,DE1_solar_photovoltaic_1
1,0,0,0,0,1,0,0,0,0,IL1_biomass_1
0,0,0,0,0,1,0,0,0,0,IL1_conventional_hydroelectric_1
0,0,0,0,0,1,0,0,0,0,IL1_nuclear_1
1,0,0,0,0,1,0,0,0,0,IL1_onshore_wind_turbine_1
1,0,0,0,0,1,0,0,0,0,IL1_solar_photovoltaic_1
1,0,0,0,0,1,0,0,0,0,KY3_biomass_1
0,0,0,0,0,1,0,0,0,0,KY3_conventional_hydroelectric_1
1,0,0,0,0,1,0,0,0,0,KY3_solar_photovoltaic_1
0,0,0,0,0,1,0,0,0,0,KY4_conventional_hydroelectric_1
1,0,0,0,0,1,0,0,0,0,KY4_solar_photovoltaic_1
0,0,0,0,0,1,0,0,0,0,MD1_conventional_hydroelectric_1
1,0,0,0,0,1,0,0,0,0,MD1_onshore_wind_turbine_1
1,0,0,0,0,1,0,0,0,0,MD1_solar_photovoltaic_1
1,0,0,0,0,1,0,0,0,0,MD2_biomass_1
0,0,0,0,0,1,0,0,0,0,MD2_conventional_hydroelectric_1
0,0,0,0,0,1,0,0,0,0,MD2_nuclear_1
1,0,0,0,0,1,0,0,0,0,MD2_solar_photovoltaic_1
0,0,0,1,0,0,1,0,0,0,MI_biomass_1
0,0,0,0,0,0,1,0,0,0,MI_conventional_hydroelectric_1
0,0,0,0,0,0,1,0,0,0,MI_nuclear_1
0,0,0,1,0,0,1,0,0,0,MI_solar_photovoltaic_1
1,0,0,0,0,1,0,0,0,0,NJ1_biomass_1
0,0,0,0,0,1,0,0,0,0,NJ1_conventional_hydroelectric_1
0,0,0,0,0,1,0,0,0,0,NJ1_nuclear_1
1,0,0,0,0,1,0,0,0,0,NJ1_onshore_wind_turbine_1
