Region_description,Network_zones,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10
DE1,z1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1,z2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY3,z3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY4,z4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD1,z5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD2,z6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,z7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ1,z8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH1,z9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH2,z10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH3,z11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH4,z12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA1,z13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA2,z14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA3,z15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA4,z16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA1,z17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA2,z18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA3,z19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA4,z20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV1,z21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV2,z22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
