Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,DerateCapRes_4,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,CapRes_Excl_4,Line_Max_Flow_Possible_MW,Capital_Recovery_Period,WACC
z1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2967.0725,2967.0725,DE1_to_MD2,30501.0,640871.0,0.0426,1484.0,0.95,0.95,0.95,0.95,0,0,-1,1,1000000.0,60.0,0.044
z2,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701.0,2701.0,DE1_to_NJ1,42203.0,886737.0,0.0189,1350.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1029.4925,1029.4925,DE1_to_PA4,14512.0,304913.0,0.0192,515.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z4,4,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.2855,166.2855,KY3_to_KY4,28169.0,591872.0,0.0237,500.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z5,5,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1240.0,1240.0,KY3_to_OH2,21624.0,454340.0,0.0221,620.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z6,6,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,972.852,972.852,KY3_to_OH3,18968.0,398542.0,0.0191,500.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z7,7,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3069.111,3069.111,KY3_to_OH4,20124.0,422831.0,0.0221,1535.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,504.0,504.0,KY3_to_VA1,34055.0,715530.0,0.0357,500.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z9,9,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1018.2475,1018.2475,KY4_to_OH2,24166.0,507757.0,0.0242,509.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,56.2885,56.2885,KY4_to_VA1,24787.0,520798.0,0.0209,500.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z11,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,153.324,153.324,KY4_to_WV2,25228.0,530071.0,0.0579,500.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z12,12,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4249.6325,4249.6325,MD1_to_MD2,15451.0,324654.0,0.0184,2125.0,0.95,0.95,0.95,0.95,0,1,-1,0,1000000.0,60.0,0.044
z13,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,328.588,328.588,MD1_to_PA3,7105.0,149279.0,0.0131,500.0,0.95,0.95,0.95,0.95,0,1,0,-1,1000000.0,60.0,0.044
z14,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,130.69,130.69,MD1_to_PA4,31960.0,671530.0,0.0524,500.0,0.95,0.95,0.95,0.95,0,1,0,-1,1000000.0,60.0,0.044
z15,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5491.347,5491.347,MD1_to_WV1,21225.0,445961.0,0.0191,2746.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z16,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,7274.0755,7274.0755,MD2_to_PA4,19074.0,400774.0,0.0227,3637.0,0.95,0.95,0.95,0.95,0,0,1,-1,1000000.0,60.0,0.044
z17,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,4011.5605,4011.5605,MD2_to_VA2,41805.0,878379.0,0.0463,2006.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z18,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,336.204,336.204,MD2_to_VA4,32678.0,686617.0,0.0284,500.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z19,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,10660.333,10660.333,NJ1_to_PA4,11853.0,249040.0,0.0131,5330.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z20,20,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,6071.6355,6071.6355,OH1_to_OH2,18934.0,397817.0,0.0534,3036.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z21,21,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,3011.885,3011.885,OH1_to_PA1,20627.0,433409.0,0.045,1506.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
z22,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,2311.0625,2311.0625,OH1_to_PA4,33247.0,698555.0,0.0338,1156.0,0.95,0.95,0.95,0.95,0,1,0,-1,1000000.0,60.0,0.044
,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,4842.7585,4842.7585,OH1_to_WV1,23702.0,498002.0,0.0192,2421.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
,24,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,2507.504,2507.504,OH2_to_OH3,11716.0,246174.0,0.033,1254.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
,25,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,2235.512,2235.512,OH2_to_OH4,16922.0,355562.0,0.0451,1118.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
,26,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,2642.0,2642.0,OH2_to_PA1,19705.0,414037.0,0.0188,1321.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,4059.1875,4059.1875,OH2_to_VA1,29584.0,621588.0,0.0281,2030.0,0.95,0.95,0.95,0.95,0,0,0,0,1000000.0,60.0,0.044
