Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type,Fixed_OM_Cost_per_MWyr,gen_scheduled_outage_rate,Max_Cap_MW,Inv_Cost_per_MWyr
DE1_onshore_wind_turbine_1,1,0,0,0.0,DE1,Onshore Wind Turbine,1,1.0,0.0,9.21,1.0,0.0,0.0,1.0,0.0,1,0.0,Wind,0.0,Wind,0.0,0.0,0.0,0.0
DE1_solar_photovoltaic_1,1,0,0,200.8,DE1,Solar Photovoltaic,1,15.45,0.0,8.84,13.0,0.367,0.185,1.0,15.446,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
IL1_onshore_wind_turbine_1,2,0,0,2410.9,IL1,Onshore Wind Turbine,1,133.94,19.683,8.84,18.0,0.0,0.132,1.0,133.939,1,0.0,Wind,0.0,Wind,0.0,0.0,0.0,0.0
IL1_solar_photovoltaic_1,2,0,0,870.4,IL1,Solar Photovoltaic,1,10.49,0.001,8.84,83.0,0.367,0.183,1.0,10.487,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
KY3_solar_photovoltaic_1,3,0,0,179.1,KY3,Solar Photovoltaic,1,17.91,0.67,8.84,10.0,0.275,0.172,1.0,17.91,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
KY4_solar_photovoltaic_1,4,0,0,0.0,KY4,Solar Photovoltaic,1,1.0,0.0,9.21,1.0,0.0,0.0,1.0,0.0,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
MD1_onshore_wind_turbine_1,5,0,0,190.0,MD1,Onshore Wind Turbine,1,38.0,0.28,8.84,5.0,0.0,0.0,1.0,38.0,1,0.0,Wind,0.0,Wind,0.0,0.0,0.0,0.0
MD1_solar_photovoltaic_1,5,0,0,92.5,MD1,Solar Photovoltaic,1,5.14,0.0,8.84,18.0,0.367,0.184,1.0,5.139,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
MD2_solar_photovoltaic_1,6,0,0,410.9,MD2,Solar Photovoltaic,1,4.03,0.0,8.84,102.0,0.367,0.177,1.0,4.028,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
MI_solar_photovoltaic_1,7,0,0,5.6,MI,Solar Photovoltaic,1,2.8,0.0,8.84,2.0,0.0,0.0,1.0,2.8,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
