,VRE,Hydro,MustRun,Storage,Thermal,Total
distributed_generation,19056.0,,,,,19056.0
landbasedwind_class3_moderate,0.0,,,,,0.0
offshore_wind_turbine,971.3,,,,,971.3
offshorewind_class3_conservative_fixed_0,0.0,,,,,0.0
offshorewind_class3_conservative_fixed_1,0.0,,,,,0.0
onshore_wind_turbine,30022.0,,,,,30022.0
solar_photovoltaic,34282.9,,,,,34282.9
utilitypv_class1_moderate,0.0,,,,,0.0
conventional_hydroelectric,,22532.7,,,,22532.7
biomass,,,1055.0,,,1055.0
batteries,,,,1318.0,,1318.0
hydroelectric_pumped_storage,,,,17379.7,,17379.7
utilityscale_battery_storage_lithium_ion_advanced,,,,0.0,,0.0
conventional_steam_coal,,,,,85456.5,85456.5
natural_gas_fired_combined_cycle,,,,,140713.19999999998,140713.19999999998
natural_gas_fired_combustion_turbine,,,,,79416.70000000001,79416.70000000001
natural_gas_steam_turbine,,,,,21803.399999999998,21803.399999999998
naturalgas_1on1_combined_cycle_hframe_moderate,,,,,0.0,0.0
naturalgas_combustion_turbine_fframe_moderate,,,,,0.0,0.0
nuclear,,,,,73817.4,73817.4
nuclear_nuclear__large_conservative,,,,,0.0,0.0
petroleum_liquids,,,,,16934.2,16934.2
