Resource Class,Tier,low,mid,high,to_preserve
Nuclear,Always-clear,0,1,2.0,
Solar,renewable,0,0,0.5,
Onshore Wind,renewable,0,0,2.0,
Offshore Wind,renewable,0,0,5.0,
Combined Cycle NG,Marginal supply,0,0,200.0,
Combustion Turbine NG,Marginal supply,0,0.0,195.0,
Coal,Marginal supply,0,0,280,
Battery Storage,Storage,20.0,100.0,120.0,
Demand Response,Marginal supply,0.0,0.0,0.0,
Hydroelectric,Always-clear,0,1,2.0,
Biomass,Marginal supply,60.0,150.0,180.0,
Steam Turbine NG,Marginal supply,23.51,54.93,76.0,
Petroleum,Marginal supply,23.51,54.0,76.0,
Aggregate Resource,Marginal supply,0.0,65.0,85.0,
Pumped Hydro,Storage,0.0,1.0,10.0,
